HourAndDate,Winner,Price,Runner,Result
00:33:43 16/02/2022,1º,6.5,Arthur Wright,1-2-3
00:34:02 16/02/2022,1º,3.6,Shaun Whitehurst,4-2-3
00:37:05 16/02/2022,1º,5.0,Joe Daley,2-1-3
00:40:07 16/02/2022,1º,5.0,Joe Daley,2-1-3
01:09:29 16/02/2022,1º,12.0,Mike Mellon,2-4-1
12:48:54 16/02/2022,1º,3.75,Manfred Cook,4-2-3
12:52:18 16/02/2022,1º,5.0,Ian Ridgby,2-3-4
12:55:42 16/02/2022,1º,2.4,Steve Rogers,2-4-1
12:59:07 16/02/2022,1º,3.4,Robin Bobbler,1-2-3
13:02:31 16/02/2022,1º,5.5,Rob Wood,3-4-1
13:05:55 16/02/2022,1º,6.0,Ralph Gleeson,2-1-4
13:09:19 16/02/2022,1º,3.25,Dan Druff,4-2-3
13:12:44 16/02/2022,1º,2.4,Thomas Black,2-3-1
13:16:08 16/02/2022,1º,3.6,Anthony Timmison,1-4-3
13:19:32 16/02/2022,1º,2.4,Randolph Clearwater,2-4-3
13:22:56 16/02/2022,1º,2.4,Kevin Rutter,4-2-3
13:26:21 16/02/2022,1º,3.25,Danny Gibson,4-2-1
13:29:45 16/02/2022,1º,3.5,Peter Todd,1-3-4
13:33:10 16/02/2022,1º,2.4,Mike Tooth,2-3-4
13:36:34 16/02/2022,1º,6.0,Lamont Cranston,1-2-4
13:39:58 16/02/2022,1º,3.0,Clive Bomber,3-4-2
13:43:22 16/02/2022,1º,3.6,Paul Matthews,2-3-1
13:46:47 16/02/2022,1º,3.25,Oliver Queen,2-4-3
13:50:11 16/02/2022,1º,7.0,Joe Daley,1-3-2
13:53:36 16/02/2022,1º,3.5,Granville Arkwright,3-4-2
13:57:00 16/02/2022,1º,2.4,Jeff McKenzie,2-3-4
14:00:24 16/02/2022,1º,2.87,Robbie Pimlett,3-1-2
14:03:48 16/02/2022,1º,5.0,Harry Constable,1-3-4
14:07:13 16/02/2022,1º,2.4,Trevor Piper,3-1-2
14:10:37 16/02/2022,1º,3.6,Stephen Kirkland,1-2-3
14:14:01 16/02/2022,1º,6.5,Russell Wilkinson,2-4-3
14:17:26 16/02/2022,1º,2.4,Adam Wrend,1-2-3
14:20:50 16/02/2022,1º,6.0,Mike Mellon,2-4-3
14:24:14 16/02/2022,1º,4.5,George Patel,1-3-4
14:27:38 16/02/2022,1º,6.0,Graham Green,1-4-2
14:31:03 16/02/2022,1º,3.6,Stevie Peters,3-2-1
14:34:27 16/02/2022,1º,2.4,Eric Twinge,2-3-4
14:37:51 16/02/2022,1º,2.4,Leo Stefanos,2-3-4
14:41:15 16/02/2022,1º,2.4,Richard Kelsall,3-2-1
14:44:40 16/02/2022,1º,4.5,Phil Wiggy,1-4-2
14:48:04 16/02/2022,1º,3.2,Alan Shore,4-1-2
14:51:28 16/02/2022,1º,3.0,Mervin Hardaway,1-4-2
14:54:52 16/02/2022,1º,3.0,Scott Affleck,4-1-2
14:58:17 16/02/2022,1º,3.75,Reg Hollins,4-1-3
15:01:41 16/02/2022,1º,6.0,Steve Cooke,1-3-4
15:05:05 16/02/2022,1º,6.5,Des Battersby,1-3-2
15:08:30 16/02/2022,1º,5.5,Ben Danobi,1-4-3
15:11:54 16/02/2022,1º,5.0,Clinton Blisters,3-2-1
15:15:18 16/02/2022,1º,3.25,Paul Lewis,3-4-2
15:18:42 16/02/2022,1º,3.2,Paul Farmer,4-1-2
15:22:06 16/02/2022,1º,2.87,Rob Thomas,4-2-1
15:25:31 16/02/2022,1º,3.5,Roger Smith,2-4-1
15:28:55 16/02/2022,1º,3.0,Colin Aldridge,2-1-4
15:32:19 16/02/2022,1º,2.4,Craig Edmonds,4-3-2
15:35:43 16/02/2022,1º,3.5,Dean Latham,1-3-2
15:39:07 16/02/2022,1º,3.4,Martin Williams,1-2-4
15:42:31 16/02/2022,1º,3.5,Dick Patterson,4-1-2
15:45:56 16/02/2022,1º,6.5,Adrian Swapnot,2-4-3
19:14:34 16/02/2022,1º,3.75,Clive Dale,4-1-3
19:17:58 16/02/2022,1º,2.8,Charlie Swanson,2-4-3
19:21:23 16/02/2022,1º,2.4,Clive Bomber,1-4-2
19:24:47 16/02/2022,1º,8.0,Stephen Hamilton,4-1-2
19:28:11 16/02/2022,1º,7.5,Yaron Cooper,3-1-2
19:31:35 16/02/2022,1º,2.4,Ernie Bristow,2-3-4
19:34:59 16/02/2022,1º,3.4,Luke Burton,2-1-3
19:38:24 16/02/2022,1º,3.25,Robbie Pimlett,3-2-1
19:41:48 16/02/2022,1º,2.4,Eddy Halliwell,2-4-3
19:45:12 16/02/2022,1º,8.0,Larry Scott,4-3-2
19:48:36 16/02/2022,1º,2.4,Matthew Hurst,1-3-4
19:52:01 16/02/2022,1º,3.6,Aaron Bailey,2-3-4
19:55:25 16/02/2022,1º,3.25,Per Tomas,4-2-1
19:58:49 16/02/2022,1º,3.0,Oliver Queen,4-2-1
20:02:13 16/02/2022,1º,2.4,Adam Wrend,2-3-4
20:05:37 16/02/2022,1º,4.0,Neil Dale,2-4-1
20:24:57 16/02/2022,1º,3.2,Willie Wood,4-3-1
20:28:21 16/02/2022,1º,2.4,Richard Kelsall,3-4-1
20:31:46 16/02/2022,1º,2.6,Gareth Read,3-4-2
20:35:10 16/02/2022,1º,3.5,Darryl Hill,2-3-1
20:36:00 16/02/2022,1º,3.5,Darryl Hill,2-3-1
20:39:14 16/02/2022,1º,4.5,Martin Thorely,3-4-1
20:42:28 16/02/2022,1º,2.75,Leo Stefanos,1-2-3
20:45:43 16/02/2022,1º,2.87,Tom Graham,2-3-4
20:48:57 16/02/2022,1º,3.0,Timothy Small,3-1-2
20:52:11 16/02/2022,1º,2.4,Sean Williamson,4-2-1
20:55:25 16/02/2022,1º,8.5,Al Jessel,2-3-1
20:58:40 16/02/2022,1º,6.5,Lewis Barker,1-2-3
21:01:54 16/02/2022,1º,3.0,Dave Richards,3-1-4
